id,Name,Type,Type1,Type2,HP,Atk,Def,SpAk,SpDf,Spd,Total,Generation,Legendary
27,Sandshrew,Ground,Ground,#N/A,50,75,85,20,30,40,300,1,FALSE
28,Sandslash,Ground,Ground,#N/A,75,100,110,45,55,65,450,1,FALSE
29,Nidoran(F),Poison,Poison,#N/A,55,47,52,40,40,41,275,1,FALSE
30,Nidorina,Poison,Poison,#N/A,70,62,67,55,55,56,365,1,FALSE
31,Nidoqueen,Poison Ground,Poison,Ground,90,92,87,75,85,76,505,1,FALSE
32,Nidoran(M),Poison,Poison,#N/A,46,57,40,40,40,50,273,1,FALSE
33,Nidorino,Poison,Poison,#N/A,61,72,57,55,55,65,365,1,FALSE
34,Nidoking,Poison Ground,Poison,Ground,81,102,77,85,75,85,505,1,FALSE
35,Clefairy,Fairy,Fairy,#N/A,70,45,48,60,65,35,323,1,FALSE
36,Clefable,Fairy,Fairy,#N/A,95,70,73,95,90,60,483,1,FALSE
37,Vulpix,Fire,Fire,#N/A,38,41,40,50,65,65,299,1,FALSE
38,Ninetales,Fire,Fire,#N/A,73,76,75,81,100,100,505,1,FALSE
39,Jigglypuff,Normal Fairy,Normal,Fairy,115,45,20,45,25,20,270,1,FALSE
40,Wigglytuff,Normal Fairy,Normal,Fairy,140,70,45,85,50,45,435,1,FALSE
41,Zubat,Poison Flying,Poison,Flying,40,45,35,30,40,55,245,1,FALSE
42,Golbat,Poison Flying,Poison,Flying,75,80,70,65,75,90,455,1,FALSE
43,Oddish,Grass Poison,Grass,Poison,45,50,55,75,65,30,320,1,FALSE
44,Gloom,Grass Poison,Grass,Poison,60,65,70,85,75,40,395,1,FALSE
45,Vileplume,Grass Poison,Grass,Poison,75,80,85,110,90,50,490,1,FALSE
46,Paras,Bug Grass,Bug,Grass,35,70,55,45,55,25,285,1,FALSE
47,Parasect,Bug Grass,Bug,Grass,60,95,80,60,80,30,405,1,FALSE
48,Venonat,Bug Poison,Bug,Poison,60,55,50,40,55,45,305,1,FALSE
49,Venomoth,Bug Poison,Bug,Poison,70,65,60,90,75,90,450,1,FALSE
50,Diglett,Ground,Ground,#N/A,10,55,25,35,45,95,265,1,FALSE
51,Dugtrio,Ground,Ground,#N/A,35,80,50,50,70,120,405,1,FALSE
52,Meowth,Normal,Normal,#N/A,40,45,35,40,40,90,290,1,FALSE
53,Persian,Normal,Normal,#N/A,65,70,60,65,65,115,440,1,FALSE
54,Psyduck,Water,Water,#N/A,50,52,48,65,50,55,320,1,FALSE
55,Golduck,Water,Water,#N/A,80,82,78,95,80,85,500,1,FALSE
56,Mankey,Fighting,Fighting,#N/A,40,80,35,35,45,70,305,1,FALSE
57,Primeape,Fighting,Fighting,#N/A,65,105,60,60,70,95,455,1,FALSE
58,Growlithe,Fire,Fire,#N/A,55,70,45,70,50,60,350,1,FALSE
59,Arcanine,Fire,Fire,#N/A,90,110,80,100,80,95,555,1,FALSE
60,Poliwag,Water,Water,#N/A,40,50,40,40,40,90,300,1,FALSE
61,Poliwhirl,Water,Water,#N/A,65,65,65,50,50,90,385,1,FALSE
62,Poliwrath,Water Fighting,Water,Fighting,90,95,95,70,90,70,510,1,FALSE
63,Abra,Psychic,Psychic,#N/A,25,20,15,105,55,90,310,1,FALSE
64,Kadabra,Psychic,Psychic,#N/A,40,35,30,120,70,105,400,1,FALSE
65,Alakazam,Psychic,Psychic,#N/A,55,50,45,135,95,120,500,1,FALSE
65,Mega Alakazam,Psychic,Psychic,#N/A,55,50,65,175,95,150,590,1,FALSE
66,Machop,Fighting,Fighting,#N/A,70,80,50,35,35,35,305,1,FALSE
67,Machoke,Fighting,Fighting,#N/A,80,100,70,50,60,45,405,1,FALSE
68,Machamp,Fighting,Fighting,#N/A,90,130,80,65,85,55,505,1,FALSE
69,Bellsprout,Grass Poison,Grass,Poison,50,75,35,70,30,40,300,1,FALSE
70,Weepinbell,Grass Poison,Grass,Poison,65,90,50,85,45,55,390,1,FALSE
71,Victreebel,Grass Poison,Grass,Poison,80,105,65,100,70,70,490,1,FALSE
72,Tentacool,Water Poison,Water,Poison,40,40,35,50,100,70,335,1,FALSE
73,Tentacruel,Water Poison,Water,Poison,80,70,65,80,120,100,515,1,FALSE
74,Geodude,Rock Ground,Rock,Ground,40,80,100,30,30,20,300,1,FALSE
75,Graveler,Rock Ground,Rock,Ground,55,95,115,45,45,35,390,1,FALSE
76,Golem,Rock Ground,Rock,Ground,80,120,130,55,65,45,495,1,FALSE
77,Ponyta,Fire,Fire,#N/A,50,85,55,65,65,90,410,1,FALSE
78,Rapidash,Fire,Fire,#N/A,65,100,70,80,80,105,500,1,FALSE
79,Slowpoke,Water Psychic,Water,Psychic,90,65,65,40,40,15,315,1,FALSE
80,Slowbro,Water Psychic,Water,Psychic,95,75,110,100,80,30,490,1,FALSE
80,Mega Slowbro,Water Psychic,Water,Psychic,95,75,180,130,80,30,590,1,FALSE
81,Magnemite,Electric Steel,Electric,Steel,25,35,70,95,55,45,325,1,FALSE
82,Magneton,Electric Steel,Electric,Steel,50,60,95,120,70,70,465,1,FALSE
83,Farfetch'd,Normal Flying,Normal,Flying,52,65,55,58,62,60,352,1,FALSE
84,Doduo,Normal Flying,Normal,Flying,35,85,45,35,35,75,310,1,FALSE
85,Dodrio,Normal Flying,Normal,Flying,60,110,70,60,60,100,460,1,FALSE
86,Seel,Water,Water,#N/A,65,45,55,45,70,45,325,1,FALSE
87,Dewgong,Water Ice,Water,Ice,90,70,80,70,95,70,475,1,FALSE
88,Grimer,Poison,Poison,#N/A,80,80,50,40,50,25,325,1,FALSE
89,Muk,Poison,Poison,#N/A,105,105,75,65,100,50,500,1,FALSE
90,Shellder,Water,Water,#N/A,30,65,100,45,25,40,305,1,FALSE
91,Cloyster,Water Ice,Water,Ice,50,95,180,85,45,70,525,1,FALSE
92,Gastly,Ghost Poison,Ghost,Poison,30,35,30,100,35,80,310,1,FALSE
93,Haunter,Ghost Poison,Ghost,Poison,45,50,45,115,55,95,405,1,FALSE
94,Gengar,Ghost Poison,Ghost,Poison,60,65,60,130,75,110,500,1,FALSE
94,Mega Gengar,Ghost Poison,Ghost,Poison,60,65,80,170,95,130,600,1,FALSE
95,Onix,Rock Ground,Rock,Ground,35,45,160,30,45,70,385,1,FALSE
96,Drowzee,Psychic,Psychic,#N/A,60,48,45,43,90,42,328,1,FALSE
97,Hypno,Psychic,Psychic,#N/A,85,73,70,73,115,67,483,1,FALSE
98,Krabby,Water,Water,#N/A,30,105,90,25,25,50,325,1,FALSE
99,Kingler,Water,Water,#N/A,55,130,115,50,50,75,475,1,FALSE
100,Voltorb,Electric,Electric,#N/A,40,30,50,55,55,100,330,1,FALSE
101,Electrode,Electric,Electric,#N/A,60,50,70,80,80,140,480,1,FALSE
102,Exeggcute,Grass Psychic,Grass,Psychic,60,40,80,60,45,40,325,1,FALSE
103,Exeggutor,Grass Psychic,Grass,Psychic,95,95,85,125,65,55,520,1,FALSE
104,Cubone,Ground,Ground,#N/A,50,50,95,40,50,35,320,1,FALSE
105,Marowak,Ground,Ground,#N/A,60,80,110,50,80,45,425,1,FALSE
106,Hitmonlee,Fighting,Fighting,#N/A,50,120,53,35,110,87,455,1,FALSE
107,Hitmonchan,Fighting,Fighting,#N/A,50,105,79,35,110,76,455,1,FALSE
108,Lickitung,Normal,Normal,#N/A,90,55,75,60,75,30,385,1,FALSE
109,Koffing,Poison,Poison,#N/A,40,65,95,60,45,35,340,1,FALSE
110,Weezing,Poison,Poison,#N/A,65,90,120,85,70,60,490,1,FALSE
111,Rhyhorn,Ground Rock,Ground,Rock,80,85,95,30,30,25,345,1,FALSE
112,Rhydon,Ground Rock,Ground,Rock,105,130,120,45,45,40,485,1,FALSE
113,Chansey,Normal,Normal,#N/A,250,5,5,35,105,50,450,1,FALSE
114,Tangela,Grass,Grass,#N/A,65,55,115,100,40,60,435,1,FALSE
115,Kangaskhan,Normal,Normal,#N/A,105,95,80,40,80,90,490,1,FALSE
115,Mega Kangaskhan,Normal,Normal,#N/A,105,125,100,60,100,100,590,1,FALSE
116,Horsea,Water,Water,#N/A,30,40,70,70,25,60,295,1,FALSE
117,Seadra,Water,Water,#N/A,55,65,95,95,45,85,440,1,FALSE
118,Goldeen,Water,Water,#N/A,45,67,60,35,50,63,320,1,FALSE
119,Seaking,Water,Water,#N/A,80,92,65,65,80,68,450,1,FALSE
120,Staryu,Water,Water,#N/A,30,45,55,70,55,85,340,1,FALSE
121,Starmie,Water Psychic,Water,Psychic,60,75,85,100,85,115,520,1,FALSE
122,Mr. Mime,Psychic Fairy,Psychic,Fairy,40,45,65,100,120,90,460,1,FALSE
123,Scyther,Bug Flying,Bug,Flying,70,110,80,55,80,105,500,1,FALSE
124,Jynx,Ice Psychic,Ice,Psychic,65,50,35,115,95,95,455,1,FALSE
125,Electabuzz,Electric,Electric,#N/A,65,83,57,95,85,105,490,1,FALSE
126,Magmar,Fire,Fire,#N/A,65,95,57,100,85,93,495,1,FALSE
127,Pinsir,Bug,Bug,#N/A,65,125,100,55,70,85,500,1,FALSE
127,Mega Pinsir,Bug Flying,Bug,Flying,65,155,120,65,90,105,600,1,FALSE
128,Tauros,Normal,Normal,#N/A,75,100,95,40,70,110,490,1,FALSE
129,Magikarp,Water,Water,#N/A,20,10,55,15,20,80,200,1,FALSE
130,Gyarados,Water Flying,Water,Flying,95,125,79,60,100,81,540,1,FALSE
130,Mega Gyarados,Water Dark,Water,Dark,95,155,109,70,130,81,640,1,FALSE
131,Lapras,Water Ice,Water,Ice,130,85,80,85,95,60,535,1,FALSE
132,Ditto,Normal,Normal,#N/A,48,48,48,48,48,48,288,1,FALSE
133,Eevee,Normal,Normal,#N/A,55,55,50,45,65,55,325,1,FALSE
134,Vaporeon,Water,Water,#N/A,130,65,60,110,95,65,525,1,FALSE
135,Jolteon,Electric,Electric,#N/A,65,65,60,110,95,130,525,1,FALSE
136,Flareon,Fire,Fire,#N/A,65,130,60,95,110,65,525,1,FALSE
137,Porygon,Normal,Normal,#N/A,65,60,70,85,75,40,395,1,FALSE
138,Omanyte,Rock Water,Rock,Water,35,40,100,90,55,35,355,1,FALSE
139,Omastar,Rock Water,Rock,Water,70,60,125,115,70,55,495,1,FALSE
140,Kabuto,Rock Water,Rock,Water,30,80,90,55,45,55,355,1,FALSE
141,Kabutops,Rock Water,Rock,Water,60,115,105,65,70,80,495,1,FALSE
142,Aerodactyl,Rock Flying,Rock,Flying,80,105,65,60,75,130,515,1,FALSE
142,Mega Aerodactyl,Rock Flying,Rock,Flying,80,135,85,70,95,150,615,1,FALSE
143,Snorlax,Normal,Normal,#N/A,160,110,65,65,110,30,540,1,FALSE
144,Articuno,Ice Flying,Ice,Flying,90,85,100,95,125,85,580,1,TRUE
145,Zapdos,Electric Flying,Electric,Flying,90,90,85,125,90,100,580,1,TRUE
146,Moltres,Fire Flying,Fire,Flying,90,100,90,125,85,90,580,1,TRUE
147,Dratini,Dragon,Dragon,#N/A,41,64,45,50,50,50,300,1,FALSE
148,Dragonair,Dragon,Dragon,#N/A,61,84,65,70,70,70,420,1,FALSE
149,Dragonite,Dragon Flying,Dragon,Flying,91,134,95,100,100,80,600,1,FALSE
150,Mewtwo,Psychic,Psychic,#N/A,106,110,90,154,90,130,680,1,TRUE
150,Mega Metwo X,Psychic Fighting,Psychic,Fighting,106,190,100,154,100,130,780,1,TRUE
150,Mega Metwo Y,Psychic,Psychic,#N/A,106,150,70,194,120,140,780,1,TRUE
151,Mew,Psychic,Psychic,#N/A,100,100,100,100,100,100,600,1,FALSE
152,Chikorita,Grass,Grass,#N/A,45,49,65,49,65,45,318,2,FALSE
153,Bayleef,Grass,Grass,#N/A,60,62,80,63,80,60,405,2,FALSE
154,Meganium,Grass,Grass,#N/A,80,82,100,83,100,80,525,2,FALSE
155,Cyndaquil,Fire,Fire,#N/A,39,52,43,60,50,65,309,2,FALSE
156,Quilava,Fire,Fire,#N/A,58,64,58,80,65,80,405,2,FALSE
157,Typhlosion,Fire,Fire,#N/A,78,84,78,109,85,100,534,2,FALSE
158,Totodile,Water,Water,#N/A,50,65,64,44,48,43,314,2,FALSE
159,Croconaw,Water,Water,#N/A,65,80,80,59,63,58,405,2,FALSE
160,Feraligatr,Water,Water,#N/A,85,105,100,79,83,78,530,2,FALSE
161,Sentret,Normal,Normal,#N/A,35,46,34,35,45,20,215,2,FALSE
162,Furret,Normal,Normal,#N/A,85,76,64,45,55,90,415,2,FALSE
163,Hoothoot,Normal Flying,Normal,Flying,60,30,30,36,56,50,262,2,FALSE
164,Noctowl,Normal Flying,Normal,Flying,100,50,50,76,96,70,442,2,FALSE
165,Ledyba,Bug Flying,Bug,Flying,40,20,30,40,80,55,265,2,FALSE
166,Ledian,Bug Flying,Bug,Flying,55,35,50,55,110,85,390,2,FALSE
167,Spinarak,Bug Poison,Bug,Poison,40,60,40,40,40,30,250,2,FALSE
168,Ariados,Bug Poison,Bug,Poison,70,90,70,60,60,40,390,2,FALSE
169,Crobat,Poison Flying,Poison,Flying,85,90,80,70,80,130,535,2,FALSE
170,Chinchou,Water Electric,Water,Electric,75,38,38,56,56,67,330,2,FALSE
171,Lanturn,Water Electric,Water,Electric,125,58,58,76,76,67,460,2,FALSE
172,Pichu,Electric,Electric,#N/A,20,40,15,35,35,60,205,2,FALSE
173,Cleffa,Fairy,Fairy,#N/A,50,25,28,45,55,15,218,2,FALSE
174,Igglybuff,Normal Fairy,Normal,Fairy,90,30,15,40,20,15,210,2,FALSE
175,Togepi,Fairy,Fairy,#N/A,35,20,65,40,65,20,245,2,FALSE
176,Togetic,Fairy Flying,Fairy,Flying,55,40,85,80,105,40,405,2,FALSE
177,Natu,Psychic Flying,Psychic,Flying,40,50,45,70,45,70,320,2,FALSE
178,Xatu,Psychic Flying,Psychic,Flying,65,75,70,95,70,95,470,2,FALSE
179,Mareep,Electric,Electric,#N/A,55,40,40,65,45,35,280,2,FALSE
180,Flaaffy,Electric,Electric,#N/A,70,55,55,80,60,45,365,2,FALSE
181,Ampharos,Electric,Electric,#N/A,90,75,85,115,90,55,510,2,FALSE
181,Mega Ampharos,Electric Dragon,Electric,Dragon,90,95,105,165,110,45,610,2,FALSE
182,Bellossom,Grass,Grass,#N/A,75,80,95,90,100,50,490,2,FALSE
183,Marill,Water Fairy,Water,Fairy,70,20,50,20,50,40,250,2,FALSE
184,Azumarill,Water Fairy,Water,Fairy,100,50,80,60,80,50,420,2,FALSE
185,Sudowoodo,Rock,Rock,#N/A,70,100,115,30,65,30,410,2,FALSE
186,Politoed,Water,Water,#N/A,90,75,75,90,100,70,500,2,FALSE
187,Hoppip,Grass Flying,Grass,Flying,35,35,40,35,55,50,250,2,FALSE
188,Skiploom,Grass Flying,Grass,Flying,55,45,50,45,65,80,340,2,FALSE
189,Jumpluff,Grass Flying,Grass,Flying,75,55,70,55,95,110,460,2,FALSE
190,Aipom,Normal,Normal,#N/A,55,70,55,40,55,85,360,2,FALSE
191,Sunkern,Grass,Grass,#N/A,30,30,30,30,30,30,180,2,FALSE
192,Sunflora,Grass,Grass,#N/A,75,75,55,105,85,30,425,2,FALSE
193,Yanma,Bug Flying,Bug,Flying,65,65,45,75,45,95,390,2,FALSE
194,Wooper,Water Ground,Water,Ground,55,45,45,25,25,15,210,2,FALSE
195,Quagsire,Water Ground,Water,Ground,95,85,85,65,65,35,430,2,FALSE
196,Espeon,Psychic,Psychic,#N/A,65,65,60,130,95,110,525,2,FALSE
197,Umbreon,Dark,Dark,#N/A,95,65,110,60,130,65,525,2,FALSE
198,Murkrow,Dark Flying,Dark,Flying,60,85,42,85,42,91,405,2,FALSE
199,Slowking,Water Psychic,Water,Psychic,95,75,80,100,110,30,490,2,FALSE
200,Misdreavus,Ghost,Ghost,#N/A,60,60,60,85,85,85,435,2,FALSE
201,Unown,Psychic,Psychic,#N/A,48,72,48,72,48,48,336,2,FALSE
202,Wobbuffet,Psychic,Psychic,#N/A,190,33,58,33,58,33,405,2,FALSE
203,Girafarig,Normal Psychic,Normal,Psychic,70,80,65,90,65,85,455,2,FALSE
204,Pineco,Bug,Bug,#N/A,50,65,90,35,35,15,290,2,FALSE
205,Forretress,Bug Steel,Bug,Steel,75,90,140,60,60,40,465,2,FALSE
206,Dunsparce,Normal,Normal,#N/A,100,70,70,65,65,45,415,2,FALSE
207,Gligar,Ground Flying,Ground,Flying,65,75,105,35,65,85,430,2,FALSE
208,Steelix,Steel Ground,Steel,Ground,75,85,200,55,65,30,510,2,FALSE
208,Mega Steelix,Steel Ground,Steel,Ground,75,125,230,55,95,30,610,2,FALSE
209,Snubbull,Fairy,Fairy,#N/A,60,80,50,40,40,30,300,2,FALSE
210,Granbull,Fairy,Fairy,#N/A,90,120,75,60,60,45,450,2,FALSE
211,Qwilfish,Water Poison,Water,Poison,65,95,75,55,55,85,430,2,FALSE
212,Scizor,Bug Steel,Bug,Steel,70,130,100,55,80,65,500,2,FALSE
212,Mega Scizor,Bug Steel,Bug,Steel,70,150,140,65,100,75,600,2,FALSE
213,Shuckle,Bug Rock,Bug,Rock,20,10,230,10,230,5,505,2,FALSE
214,Heracross,Bug Fighting,Bug,Fighting,80,125,75,40,95,85,500,2,FALSE
214,Mega Heracross,Bug Fighting,Bug,Fighting,80,185,115,40,105,75,600,2,FALSE
215,Sneasel,Dark Ice,Dark,Ice,55,95,55,35,75,115,430,2,FALSE
216,Teddiursa,Normal,Normal,#N/A,60,80,50,50,50,40,330,2,FALSE
217,Ursaring,Normal,Normal,#N/A,90,130,75,75,75,55,500,2,FALSE
218,Slugma,Fire,Fire,#N/A,40,40,40,70,40,20,250,2,FALSE
219,Magcargo,Fire Rock,Fire,Rock,50,50,120,80,80,30,410,2,FALSE
220,Swinub,Ice Ground,Ice,Ground,50,50,40,30,30,50,250,2,FALSE
221,Piloswine,Ice Ground,Ice,Ground,100,100,80,60,60,50,450,2,FALSE
222,Corsola,Water Rock,Water,Rock,55,55,85,65,85,35,380,2,FALSE
223,Remoraid,Water,Water,#N/A,35,65,35,65,35,65,300,2,FALSE
224,Octillery,Water,Water,#N/A,75,105,75,105,75,45,480,2,FALSE
225,Delibird,Ice Flying,Ice,Flying,45,55,45,65,45,75,330,2,FALSE
226,Mantine,Water Flying,Water,Flying,65,40,70,80,140,70,465,2,FALSE
227,Skarmory,Steel Flying,Steel,Flying,65,80,140,40,70,70,465,2,FALSE
228,Houndour,Dark Fire,Dark,Fire,45,60,30,80,50,65,330,2,FALSE
229,Houndoom,Dark Fire,Dark,Fire,75,90,50,110,80,95,500,2,FALSE
229,Mega Houndoom,Dark Fire,Dark,Fire,75,90,90,140,90,115,600,2,FALSE
230,Kingdra,Water Dragon,Water,Dragon,75,95,95,95,95,85,540,2,FALSE
231,Phanpy,Ground,Ground,#N/A,90,60,60,40,40,40,330,2,FALSE
232,Donphan,Ground,Ground,#N/A,90,120,120,60,60,50,500,2,FALSE
233,Porygon2,Normal,Normal,#N/A,85,80,90,105,95,60,515,2,FALSE
234,Stantler,Normal,Normal,#N/A,73,95,62,85,65,85,465,2,FALSE
235,Smeargle,Normal,Normal,#N/A,55,20,35,20,45,75,250,2,FALSE
236,Tyrogue,Fighting,Fighting,#N/A,35,35,35,35,35,35,210,2,FALSE
237,Hitmontop,Fighting,Fighting,#N/A,50,95,95,35,110,70,455,2,FALSE
238,Smoochum,Ice Psychic,Ice,Psychic,45,30,15,85,65,65,305,2,FALSE
239,Elekid,Electric,Electric,#N/A,45,63,37,65,55,95,360,2,FALSE
240,Magby,Fire,Fire,#N/A,45,75,37,70,55,83,365,2,FALSE
241,Miltank,Normal,Normal,#N/A,95,80,105,40,70,100,490,2,FALSE
242,Blissey,Normal,Normal,#N/A,255,10,10,75,135,55,540,2,FALSE
243,Raikou,Electric,Electric,#N/A,90,85,75,115,100,115,580,2,TRUE
244,Entei,Fire,Fire,#N/A,115,115,85,90,75,100,580,2,TRUE
245,Suicune,Water,Water,#N/A,100,75,115,90,115,85,580,2,TRUE
246,Larvitar,Rock Ground,Rock,Ground,50,64,50,45,50,41,300,2,FALSE
247,Pupitar,Rock Ground,Rock,Ground,70,84,70,65,70,51,410,2,FALSE
248,Tyranitar,Rock Dark,Rock,Dark,100,134,110,95,100,61,600,2,FALSE
248,Mega Tyranitar,Rock Dark,Rock,Dark,100,164,150,95,120,71,700,2,FALSE
249,Lugia,Psychic Flying,Psychic,Flying,106,90,130,90,154,110,680,2,TRUE
250,Ho-oh,Fire Flying,Fire,Flying,106,130,90,110,154,90,680,2,TRUE
251,Celebi,Psychic Grass,Psychic,Grass,100,100,100,100,100,100,600,2,FALSE
252,Treecko,Grass,Grass,#N/A,40,45,35,65,55,70,310,3,FALSE
253,Grovyle,Grass,Grass,#N/A,50,65,45,85,65,95,405,3,FALSE
254,Sceptile,Grass,Grass,#N/A,70,85,65,105,85,120,530,3,FALSE
254,Mega Sceptile,Grass Dragon,Grass,Dragon,70,110,75,145,85,145,630,3,FALSE
255,Torchic,Fire,Fire,#N/A,45,60,40,70,50,45,310,3,FALSE
256,Combusken,Fire Fighting,Fire,Fighting,60,85,60,85,60,55,405,3,FALSE
257,Blaziken,Fire Fighting,Fire,Fighting,80,120,70,110,70,80,530,3,FALSE
257,Mega Blaziken,Fire Fighting,Fire,Fighting,80,160,80,130,80,100,630,3,FALSE
258,Mudkip,Water,Water,#N/A,50,70,50,50,50,40,310,3,FALSE
259,Marshtomp,Water Ground,Water,Ground,70,85,70,60,70,50,405,3,FALSE
260,Swampert,Water Ground,Water,Ground,100,110,90,85,90,60,535,3,FALSE
260,Mega Swampert,Water Ground,Water,Ground,100,150,110,95,110,70,635,3,FALSE
261,Poochyena,Dark,Dark,#N/A,35,55,35,30,30,35,220,3,FALSE
262,Mightyena,Dark,Dark,#N/A,70,90,70,60,60,70,420,3,FALSE
263,Zigzagoon,Normal,Normal,#N/A,38,30,41,30,41,60,240,3,FALSE
264,Linoone,Normal,Normal,#N/A,78,70,61,50,61,100,420,3,FALSE
265,Wurmple,Bug,Bug,#N/A,45,45,35,20,30,20,195,3,FALSE
266,Silcoon,Bug,Bug,#N/A,50,35,55,25,25,15,205,3,FALSE
267,Beautifly,Bug Flying,Bug,Flying,60,70,50,100,50,65,395,3,FALSE
268,Cascoon,Bug,Bug,#N/A,50,35,55,25,25,15,205,3,FALSE
269,Dustox,Bug Poison,Bug,Poison,60,50,70,50,90,65,385,3,FALSE
270,Lotad,Water Grass,Water,Grass,40,30,30,40,50,30,220,3,FALSE
271,Lombre,Water Grass,Water,Grass,60,50,50,60,70,50,340,3,FALSE
272,Ludicolo,Water Grass,Water,Grass,80,70,70,90,100,70,480,3,FALSE
273,Seedot,Grass,Grass,#N/A,40,40,50,30,30,30,220,3,FALSE
274,Nuzleaf,Grass Dark,Grass,Dark,70,70,40,60,40,60,340,3,FALSE
275,Shiftry,Grass Dark,Grass,Dark,90,100,60,90,60,80,480,3,FALSE
276,Taillow,Normal Flying,Normal,Flying,40,55,30,30,30,85,270,3,FALSE
277,Swellow,Normal Flying,Normal,Flying,60,85,60,50,50,125,430,3,FALSE
278,Wingull,Water Flying,Water,Flying,40,30,30,55,30,85,270,3,FALSE
279,Pelipper,Water Flying,Water,Flying,60,50,100,85,70,65,430,3,FALSE
280,Ralts,Psychic Fairy,Psychic,Fairy,28,25,25,45,35,40,198,3,FALSE
281,Kirlia,Psychic Fairy,Psychic,Fairy,38,35,35,65,55,50,278,3,FALSE
282,Gardevoir,Psychic Fairy,Psychic,Fairy,68,65,65,125,115,80,518,3,FALSE
282,Mega Gardevoir,Psychic Fairy,Psychic,Fairy,68,85,65,165,135,100,618,3,FALSE
283,Surskit,Bug Water,Bug,Water,40,30,32,50,52,65,269,3,FALSE
284,Masquerain,Bug Flying,Bug,Flying,70,60,62,80,82,60,414,3,FALSE
285,Shroomish,Grass,Grass,#N/A,60,40,60,40,60,35,295,3,FALSE
286,Breloom,Grass Fighting,Grass,Fighting,60,130,80,60,60,70,460,3,FALSE
287,Slakoth,Normal,Normal,#N/A,60,60,60,35,35,30,280,3,FALSE
288,Vigoroth,Normal,Normal,#N/A,80,80,80,55,55,90,440,3,FALSE
289,Slaking,Normal,Normal,#N/A,150,160,100,95,65,100,670,3,FALSE
290,Nincada,Bug Ground,Bug,Ground,31,45,90,30,30,40,266,3,FALSE
291,Ninjask,Bug Flying,Bug,Flying,61,90,45,50,50,160,456,3,FALSE
292,Shedinja,Bug Ghost,Bug,Ghost,1,90,45,30,30,40,236,3,FALSE
293,Whismur,Normal,Normal,#N/A,64,51,23,51,23,28,240,3,FALSE
294,Loudred,Normal,Normal,#N/A,84,71,43,71,43,48,360,3,FALSE
295,Exploud,Normal,Normal,#N/A,104,91,63,91,73,68,490,3,FALSE
296,Makuhita,Fighting,Fighting,#N/A,72,60,30,20,30,25,237,3,FALSE
297,Hariyama,Fighting,Fighting,#N/A,144,120,60,40,60,50,474,3,FALSE
