#,Number,Name,Type,Type1,Type2,Total,HP,Atk,Def,SpAk,SpDf,Spd,Generation,Legendary,MegaEvolution,FinalEvolution
25,19,Alolan Rattata,Dark Normal,Dark,Normal,253,30,56,35,25,35,72,7,FALSE,FALSE,FALSE
26,20,Raticate,Normal,Normal,,413,55,81,60,50,70,97,1,FALSE,FALSE,TRUE
27,20,Alolan Raticate,Dark Normal,Dark,Normal,413,75,71,70,40,80,77,7,FALSE,FALSE,TRUE
28,21,Spearow,Normal Flying,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,FALSE,FALSE
29,22,Fearow,Normal Flying,Normal,Flying,442,65,90,65,61,61,100,1,FALSE,FALSE,TRUE
30,23,Ekans,Poison,Poison,,288,35,60,44,40,54,55,1,FALSE,FALSE,FALSE
31,24,Arbok,Poison,Poison,,438,60,85,69,65,79,80,1,FALSE,FALSE,TRUE
32,25,Pikachu,Electric,Electric,,320,35,55,40,50,50,90,1,FALSE,FALSE,FALSE
33,26,Raichu,Electric,Electric,,485,60,90,55,90,80,110,1,FALSE,FALSE,TRUE
34,26,Alolan Raichu,Electric Psychic,Electric,Psychic,485,60,85,50,95,85,110,7,FALSE,FALSE,TRUE
35,27,Sandshrew,Ground,Ground,,300,50,75,85,20,30,40,1,FALSE,FALSE,FALSE
36,27,Alolan Sandshrew,Ice Steel,Ice,Steel,300,50,75,90,10,35,40,7,FALSE,FALSE,FALSE
37,28,Sandslash,Ground,Ground,,450,75,100,110,45,55,65,1,FALSE,FALSE,TRUE
38,28,Alolan Sandslash,Ice Steel,Ice,Steel,450,75,100,120,25,65,65,7,FALSE,FALSE,TRUE
39,29,Nidoran Male,Poison,Poison,,275,55,47,52,40,40,41,1,FALSE,FALSE,FALSE
40,30,Nidorina,Poison,Poison,,365,70,62,67,55,55,56,1,FALSE,FALSE,FALSE
41,31,Nidoqueen,Poison Ground,Poison,Ground,505,90,92,87,75,85,76,1,FALSE,FALSE,TRUE
42,32,Nidoran Female,Poison,Poison,,273,46,57,40,40,40,50,1,FALSE,FALSE,FALSE
43,33,Nidorino,Poison,Poison,,365,61,72,57,55,55,65,1,FALSE,FALSE,FALSE
44,34,Nidoking,Poison Ground,Poison,Ground,505,81,102,77,85,75,85,1,FALSE,FALSE,TRUE
45,35,Clefairy,Fairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,FALSE,FALSE
46,36,Clefable,Fairy,Fairy,,483,95,70,73,95,90,60,1,FALSE,FALSE,TRUE
47,37,Vulpix,Fire,Fire,,299,38,41,40,50,65,65,1,FALSE,FALSE,FALSE
48,37,Alolan Vulpix,Ice,Ice,,299,38,41,40,50,65,65,7,FALSE,FALSE,FALSE
49,38,Ninetales,Fire,Fire,,505,73,76,75,81,100,100,1,FALSE,FALSE,TRUE
50,38,Alolan Ninetales,Ice,Fairy,Ice Fairy,505,73,67,75,81,100,109,7,FALSE,FALSE,TRUE
51,39,Jigglypuff,Normal Fairy,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,FALSE,FALSE
52,40,Wigglytuff,Normal Fairy,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE,FALSE,TRUE
53,41,Zubat,Poison Flying,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,FALSE,FALSE
54,42,Golbat,Poison Flying,Poison,Flying,455,75,80,70,65,75,90,1,FALSE,FALSE,FALSE
55,43,Oddish,Grass Poison,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,FALSE,FALSE
56,44,Gloom,Grass Poison,Grass,Poison,395,60,65,70,85,75,40,1,FALSE,FALSE,FALSE
57,45,Vileplume,Grass Poison,Grass,Poison,490,75,80,85,110,90,50,1,FALSE,FALSE,TRUE
58,46,Paras,Bug Grass,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,FALSE,FALSE
59,47,Parasect,Bug Grass,Bug,Grass,405,60,95,80,60,80,30,1,FALSE,FALSE,TRUE
60,48,Venonat,Bug Poison,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,FALSE,FALSE
61,49,Venomoth,Bug Poison,Bug,Poison,450,70,65,60,90,75,90,1,FALSE,FALSE,TRUE
62,50,Diglett,Ground,Ground,,265,10,55,25,35,45,95,1,FALSE,FALSE,FALSE
63,50,Alolan Diglett,Ground Steel,Ground,Steel,265,10,55,30,35,45,90,7,FALSE,FALSE,FALSE
64,51,Dugtrio,Ground,Ground,,405,35,80,50,50,70,120,1,FALSE,FALSE,TRUE
65,51,Alolan Dugtrio,Ground Steel,Ground,Steel,425,35,100,60,50,70,110,7,FALSE,FALSE,TRUE
66,52,Meowth,Normal,Normal,,290,40,45,35,40,40,90,1,FALSE,FALSE,FALSE
67,52,Alolan Meowth,Dark,Dark,,290,40,35,35,50,40,90,7,FALSE,FALSE,FALSE
68,52,Galarian Meowth,Steel,Steel,,290,50,65,55,40,40,40,8,FALSE,FALSE,FALSE
69,53,Persian,Normal,Normal,,440,65,70,60,65,65,115,1,FALSE,FALSE,TRUE
70,53,Alolan Persian,Dark,Dark,,440,65,60,60,75,65,115,7,FALSE,FALSE,TRUE
71,54,Psyduck,Water,Water,,320,50,52,48,65,50,55,1,FALSE,FALSE,FALSE
72,55,Golduck,Water,Water,,500,80,82,78,95,80,85,1,FALSE,FALSE,TRUE
73,56,Mankey,Fighting,Fighting,,305,40,80,35,35,45,70,1,FALSE,FALSE,FALSE
74,57,Primeape,Fighting,Fighting,,455,65,105,60,60,70,95,1,FALSE,FALSE,TRUE
75,58,Growlithe,Fire,Fire,,350,55,70,45,70,50,60,1,FALSE,FALSE,FALSE
76,59,Arcanine,Fire,Fire,,555,90,110,80,100,80,95,1,FALSE,FALSE,TRUE
77,60,Poliwag,Water,Water,,300,40,50,40,40,40,90,1,FALSE,FALSE,FALSE
78,61,Poliwhirl,Water,Water,,385,65,65,65,50,50,90,1,FALSE,FALSE,FALSE
79,62,Poliwrath,Water Fighting,Water,Fighting,510,90,95,95,70,90,70,1,FALSE,FALSE,TRUE
80,63,Abra,Psychic,Psychic,,310,25,20,15,105,55,90,1,FALSE,FALSE,FALSE
81,64,Kadabra,Psychic,Psychic,,400,40,35,30,120,70,105,1,FALSE,FALSE,FALSE
82,65,Alakazam,Psychic,Psychic,,500,55,50,45,135,95,120,1,FALSE,FALSE,TRUE
83,65,Mega Alakazam,Psychic,Psychic,,590,55,50,65,175,95,150,1,FALSE,TRUE,TRUE
84,66,Machop,Fighting,Fighting,,305,70,80,50,35,35,35,1,FALSE,FALSE,FALSE
85,67,Machoke,Fighting,Fighting,,405,80,100,70,50,60,45,1,FALSE,FALSE,FALSE
86,68,Machamp,Fighting,Fighting,,505,90,130,80,65,85,55,1,FALSE,FALSE,TRUE
87,69,Bellsprout,Grass Poison,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,FALSE,FALSE
88,70,Weepinbell,Grass Poison,Grass,Poison,390,65,90,50,85,45,55,1,FALSE,FALSE,FALSE
89,71,Victreebel,Grass Poison,Grass,Poison,490,80,105,65,100,70,70,1,FALSE,FALSE,TRUE
90,72,Tentacool,Water Poison,Water,Poison,335,40,40,35,50,100,70,1,FALSE,FALSE,FALSE
91,73,Tentacruel,Water Poison,Water,Poison,515,80,70,65,80,120,100,1,FALSE,FALSE,TRUE
92,74,Geodude,Rock Ground,Rock,Ground,300,40,80,100,30,30,20,1,FALSE,FALSE,FALSE
93,74,Alolan Geodude,Rock Electric,Rock,Electric,300,40,80,100,30,30,20,7,FALSE,FALSE,FALSE
94,75,Graveler,Rock Ground,Rock,Ground,390,55,95,115,45,45,35,1,FALSE,FALSE,FALSE
95,75,Alolan Graveler,Rock Electric,Rock,Electric,390,55,95,115,45,45,35,7,FALSE,FALSE,FALSE
96,76,Golem,Rock Ground,Rock,Ground,495,80,120,130,55,65,45,1,FALSE,FALSE,TRUE
97,76,Alolan Golem,Rock Electric,Rock,Electric,495,80,120,130,55,65,45,7,FALSE,FALSE,TRUE
98,77,Ponyta,Fire,Fire,,410,50,85,55,65,65,90,1,FALSE,FALSE,FALSE
99,77,Galarian Ponyta,Psychic,Psychic,,410,50,85,55,65,65,90,8,FALSE,FALSE,FALSE
100,78,Rapidash,Fire,Fire,,500,65,100,70,80,80,105,1,FALSE,FALSE,TRUE
101,78,Galarian Rapidash,Psychic,Fairy,Psychic Fairy,500,65,100,70,80,80,105,8,FALSE,FALSE,TRUE
102,79,Slowpoke,Water Psychic,Water,Psychic,315,90,65,65,40,40,15,1,FALSE,FALSE,FALSE
103,79,Galarian Slowpoke,Psychic,Psychic,,315,90,65,65,40,40,15,8,FALSE,FALSE,FALSE
104,80,Slowbro,Water Psychic,Water,Psychic,490,95,75,110,100,80,30,1,FALSE,FALSE,TRUE
105,80,Mega Slowbro,Water Psychic,Water,Psychic,590,95,75,180,130,80,30,1,FALSE,TRUE,TRUE
106,80,Galarian Slowbro,Poison Psychic,Poison,Psychic,490,95,100,95,100,70,30,8,FALSE,TRUE,TRUE
107,81,Magnemite,Electric Steel,Electric,Steel,325,25,35,70,95,55,45,1,FALSE,FALSE,FALSE
108,82,Magneton,Electric Steel,Electric,Steel,465,50,60,95,120,70,70,1,FALSE,FALSE,FALSE
109,83,Farfetch'd,Normal Flying,Normal,Flying,352,52,65,55,58,62,60,1,FALSE,FALSE,TRUE
110,83,Galarian Farfetch'd,Fighting,Fighting,,377,52,95,55,58,62,55,8,FALSE,FALSE,FALSE
111,84,Doduo,Normal Flying,Normal,Flying,310,35,85,45,35,35,75,1,FALSE,FALSE,FALSE
112,85,Dodrio,Normal Flying,Normal,Flying,460,60,110,70,60,60,100,1,FALSE,FALSE,TRUE
113,86,Seel,Water,Water,,325,65,45,55,45,70,45,1,FALSE,FALSE,FALSE
114,87,Dewgong,Water Ice,Water,Ice,475,90,70,80,70,95,70,1,FALSE,FALSE,TRUE
115,88,Grimer,Poison,Poison,,325,80,80,50,40,50,25,1,FALSE,FALSE,FALSE
116,88,Alolan Grimer,Poison Dark,Poison,Dark,325,80,80,50,40,50,25,7,FALSE,FALSE,FALSE
117,89,Muk,Poison,Poison,,500,105,105,75,65,100,50,1,FALSE,FALSE,TRUE
118,89,Alolan Muk,Poison Dark,Poison,Dark,500,105,105,75,65,100,50,7,FALSE,FALSE,TRUE
119,90,Shellder,Water,Water,,305,30,65,100,45,25,40,1,FALSE,FALSE,FALSE
120,91,Cloyster,Water Ice,Water,Ice,525,50,95,180,85,45,70,1,FALSE,FALSE,TRUE
121,92,Gastly,Ghost Poison,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE,FALSE,FALSE
122,93,Haunter,Ghost Poison,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE,FALSE,FALSE
123,94,Gengar,Ghost Poison,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE,FALSE,TRUE
124,94,Mega Gengar,Ghost Poison,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE,TRUE,TRUE
125,95,Onix,Rock Ground,Rock,Ground,385,35,45,160,30,45,70,1,FALSE,FALSE,FALSE
126,96,Drowzee,Psychic,Psychic,,328,60,48,45,43,90,42,1,FALSE,FALSE,FALSE
127,97,Hypno,Psychic,Psychic,,483,85,73,70,73,115,67,1,FALSE,FALSE,TRUE
128,98,Krabby,Water,Water,,325,30,105,90,25,25,50,1,FALSE,FALSE,FALSE
129,99,Kingler,Water,Water,,475,55,130,115,50,50,75,1,FALSE,FALSE,TRUE
130,100,Voltorb,Electric,Electric,,330,40,30,50,55,55,100,1,FALSE,FALSE,FALSE
131,101,Electrode,Electric,Electric,,480,60,50,70,80,80,140,1,FALSE,FALSE,TRUE
132,102,Exeggcute,Grass Psychic,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE,FALSE,FALSE
133,103,Exeggutor,Grass Psychic,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE,FALSE,TRUE
134,103,Alolan Exeggutor,Grass Dragon,Grass,Dragon,530,95,105,85,125,75,45,7,FALSE,FALSE,TRUE
135,104,Cubone,Ground,Ground,,320,50,50,95,40,50,35,1,FALSE,FALSE,FALSE
136,105,Marowak,Ground,Ground,,425,60,80,110,50,80,45,1,FALSE,FALSE,TRUE
137,105,Alolan Marowak,Fire,Ghost,Fire Ghost,425,60,80,110,50,80,45,1,FALSE,FALSE,TRUE
138,106,Hitmonlee,Fighting,Fighting,,455,50,120,53,35,110,87,1,FALSE,FALSE,TRUE
139,107,Hitmonchan,Fighting,Fighting,,455,50,105,79,35,110,76,1,FALSE,FALSE,TRUE
140,108,Lickitung,Normal,Normal,,385,90,55,75,60,75,30,1,FALSE,FALSE,TRUE
141,109,Koffing,Poison,Poison,,340,40,65,95,60,45,35,1,FALSE,FALSE,FALSE
142,110,Weezing,Poison,Poison,,490,65,90,120,85,70,60,1,FALSE,FALSE,TRUE
143,110,Galarian Weezing,Poison Fairy,Poison,Fairy,490,65,90,120,85,70,60,8,FALSE,FALSE,TRUE
144,111,Rhyhorn,Ground Rock,Ground,Rock,345,80,85,95,30,30,25,1,FALSE,FALSE,FALSE
145,112,Rhydon,Ground Rock,Ground,Rock,485,105,130,120,45,45,40,1,FALSE,FALSE,FALSE
146,113,Chansey,Normal,Normal,,450,250,5,5,35,105,50,1,FALSE,FALSE,FALSE
147,114,Tangela,Grass,Grass,,435,65,55,115,100,40,60,1,FALSE,FALSE,FALSE
148,115,Kangaskhan,Normal,Normal,,490,105,95,80,40,80,90,1,FALSE,FALSE,TRUE
149,115,Mega Kangaskhan,Normal,Normal,,590,105,125,100,60,100,100,1,FALSE,TRUE,TRUE
150,116,Horsea,Water,Water,,295,30,40,70,70,25,60,1,FALSE,FALSE,FALSE
151,117,Seadra,Water,Water,,440,55,65,95,95,45,85,1,FALSE,FALSE,FALSE
152,118,Goldeen,Water,Water,,320,45,67,60,35,50,63,1,FALSE,FALSE,FALSE
153,119,Seaking,Water,Water,,450,80,92,65,65,80,68,1,FALSE,FALSE,TRUE
154,120,Staryu,Water,Water,,340,30,45,55,70,55,85,1,FALSE,FALSE,FALSE
155,121,Starmie,Water Psychic,Water,Psychic,520,60,75,85,100,85,115,1,FALSE,FALSE,TRUE
156,122,Mr. Mime,Psychic Fairy,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE,FALSE,TRUE
157,122,Mr. Mime,Ice Psychic,Ice,Psychic,460,50,65,65,90,90,100,8,FALSE,FALSE,FALSE
158,123,Scyther,Bug Flying,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,FALSE,FALSE
159,124,Jynx,Ice Psychic,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,FALSE,TRUE
160,125,Electabuzz,Electric,Electric,,490,65,83,57,95,85,105,1,FALSE,FALSE,FALSE
161,126,Magmar,Fire,Fire,,495,65,95,57,100,85,93,1,FALSE,FALSE,FALSE
162,127,Pinsir,Bug,Bug,,500,65,125,100,55,70,85,1,FALSE,FALSE,TRUE
163,127,Mega Pinsir,Bug Flying,Bug,Flying,600,65,155,120,65,90,105,1,FALSE,TRUE,TRUE
164,128,Tauros,Normal,Normal,,490,75,100,95,40,70,110,1,FALSE,FALSE,TRUE
165,129,Magikarp,Water,Water,,200,20,10,55,15,20,80,1,FALSE,FALSE,FALSE
166,130,Gyarados,Water Flying,Water,Flying,540,95,125,79,60,100,81,1,FALSE,FALSE,TRUE
167,130,Mega Gyarados,Water Dark,Water,Dark,640,95,155,109,70,130,81,1,FALSE,TRUE,TRUE
168,131,Lapras,Water Ice,Water,Ice,535,130,85,80,85,95,60,1,FALSE,FALSE,TRUE
169,132,Ditto,Normal,Normal,,288,48,48,48,48,48,48,1,FALSE,FALSE,TRUE
170,133,Eevee,Normal,Normal,,325,55,55,50,45,65,55,1,FALSE,FALSE,FALSE
171,134,Vaporeon,Water,Water,,525,130,65,60,110,95,65,1,FALSE,FALSE,TRUE
172,135,Jolteon,Electric,Electric,,525,65,65,60,110,95,130,1,FALSE,FALSE,TRUE
173,136,Flareon,Fire,Fire,,525,65,130,60,95,110,65,1,FALSE,FALSE,TRUE
174,137,Porygon,Normal,Normal,,395,65,60,70,85,75,40,1,FALSE,FALSE,FALSE
175,138,Omanyte,Rock Water,Rock,Water,355,35,40,100,90,55,35,1,FALSE,FALSE,FALSE
176,139,Omastar,Rock Water,Rock,Water,495,70,60,125,115,70,55,1,FALSE,FALSE,TRUE
177,140,Kabuto,Rock Water,Rock,Water,355,30,80,90,55,45,55,1,FALSE,FALSE,FALSE
178,141,Kabutops,Rock Water,Rock,Water,495,60,115,105,65,70,80,1,FALSE,FALSE,TRUE
179,142,Aerodactyl,Rock Flying,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,FALSE,TRUE
180,142,Mega Aerodactyl,Rock Flying,Rock,Flying,615,80,135,85,70,95,150,1,FALSE,TRUE,TRUE
181,143,Snorlax,Normal,Normal,,540,160,110,65,65,110,30,1,FALSE,FALSE,TRUE
182,144,Articuno,Ice Flying,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,FALSE,TRUE
183,144,Galarian Articuno,Psychic Flying,Psychic,Flying,580,90,85,85,125,100,95,8,TRUE,FALSE,TRUE
184,145,Zapdos,Electric Flying,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,FALSE,TRUE
185,145,Galarian Zapdos,Fighting Flying,Fighting,Flying,580,90,125,90,85,90,100,8,TRUE,FALSE,TRUE
186,146,Moltres,Fire Flying,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,FALSE,TRUE
187,146,Galarian Moltres,Dark Flying,Dark,Flying,580,90,85,90,100,125,90,8,TRUE,FALSE,TRUE
188,147,Dratini,Dragon,Dragon,,300,41,64,45,50,50,50,1,FALSE,FALSE,FALSE
189,148,Dragonair,Dragon,Dragon,,420,61,84,65,70,70,70,1,FALSE,FALSE,FALSE
190,149,Dragonite,Dragon Flying,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE,FALSE,TRUE
191,150,Mewtwo,Psychic,Psychic,,680,106,110,90,154,90,130,1,TRUE,FALSE,TRUE
192,150,Mega Metwo X,Psychic Fighting,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE,TRUE,TRUE
193,150,Mega Metwo Y,Psychic,Psychic,,780,106,150,70,194,120,140,1,TRUE,TRUE,TRUE
194,151,Mew,Psychic,Psychic,,600,100,100,100,100,100,100,1,FALSE,FALSE,TRUE
195,152,Chikorita,Grass,Grass,,318,45,49,65,49,65,45,2,FALSE,FALSE,FALSE
196,153,Bayleef,Grass,Grass,,405,60,62,80,63,80,60,2,FALSE,FALSE,FALSE
197,154,Meganium,Grass,Grass,,525,80,82,100,83,100,80,2,FALSE,FALSE,TRUE
198,155,Cyndaquil,Fire,Fire,,309,39,52,43,60,50,65,2,FALSE,FALSE,FALSE
199,156,Quilava,Fire,Fire,,405,58,64,58,80,65,80,2,FALSE,FALSE,FALSE
200,157,Typhlosion,Fire,Fire,,534,78,84,78,109,85,100,2,FALSE,FALSE,TRUE
201,158,Totodile,Water,Water,,314,50,65,64,44,48,43,2,FALSE,FALSE,FALSE
202,159,Croconaw,Water,Water,,405,65,80,80,59,63,58,2,FALSE,FALSE,FALSE
203,160,Feraligatr,Water,Water,,530,85,105,100,79,83,78,2,FALSE,FALSE,TRUE
204,161,Sentret,Normal,Normal,,215,35,46,34,35,45,20,2,FALSE,FALSE,FALSE
205,162,Furret,Normal,Normal,,415,85,76,64,45,55,90,2,FALSE,FALSE,TRUE
206,163,Hoothoot,Normal Flying,Normal,Flying,262,60,30,30,36,56,50,2,FALSE,FALSE,FALSE
207,164,Noctowl,Normal Flying,Normal,Flying,442,100,50,50,76,96,70,2,FALSE,FALSE,TRUE
208,165,Ledyba,Bug Flying,Bug,Flying,265,40,20,30,40,80,55,2,FALSE,FALSE,FALSE
209,166,Ledian,Bug Flying,Bug,Flying,390,55,35,50,55,110,85,2,FALSE,FALSE,TRUE
210,167,Spinarak,Bug Poison,Bug,Poison,250,40,60,40,40,40,30,2,FALSE,FALSE,FALSE
211,168,Ariados,Bug Poison,Bug,Poison,390,70,90,70,60,60,40,2,FALSE,FALSE,TRUE
212,169,Crobat,Poison Flying,Poison,Flying,535,85,90,80,70,80,130,2,FALSE,FALSE,TRUE
213,170,Chinchou,Water Electric,Water,Electric,330,75,38,38,56,56,67,2,FALSE,FALSE,FALSE
214,171,Lanturn,Water Electric,Water,Electric,460,125,58,58,76,76,67,2,FALSE,FALSE,TRUE
215,172,Pichu,Electric,Electric,,205,20,40,15,35,35,60,2,FALSE,FALSE,FALSE
216,173,Cleffa,Fairy,Fairy,,218,50,25,28,45,55,15,2,FALSE,FALSE,FALSE
217,174,Igglybuff,Normal Fairy,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE,FALSE,FALSE
218,175,Togepi,Fairy,Fairy,,245,35,20,65,40,65,20,2,FALSE,FALSE,FALSE
219,176,Togetic,Fairy Flying,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE,FALSE,FALSE
220,177,Natu,Psychic Flying,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE,FALSE,FALSE
221,178,Xatu,Psychic Flying,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE,FALSE,TRUE
222,179,Mareep,Electric,Electric,,280,55,40,40,65,45,35,2,FALSE,FALSE,FALSE
223,180,Flaaffy,Electric,Electric,,365,70,55,55,80,60,45,2,FALSE,FALSE,FALSE
224,181,Ampharos,Electric,Electric,,510,90,75,85,115,90,55,2,FALSE,FALSE,TRUE
225,181,Mega Ampharos,Electric Dragon,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE,TRUE,TRUE
226,182,Bellossom,Grass,Grass,,490,75,80,95,90,100,50,2,FALSE,FALSE,TRUE
227,183,Marill,Water Fairy,Water,Fairy,250,70,20,50,20,50,40,2,FALSE,FALSE,FALSE
228,184,Azumarill,Water Fairy,Water,Fairy,420,100,50,80,60,80,50,2,FALSE,FALSE,TRUE
229,185,Sudowoodo,Rock,Rock,,410,70,100,115,30,65,30,2,FALSE,FALSE,TRUE
230,186,Politoed,Water,Water,,500,90,75,75,90,100,70,2,FALSE,FALSE,TRUE
231,187,Hoppip,Grass Flying,Grass,Flying,250,35,35,40,35,55,50,2,FALSE,FALSE,FALSE
232,188,Skiploom,Grass Flying,Grass,Flying,340,55,45,50,45,65,80,2,FALSE,FALSE,FALSE
233,189,Jumpluff,Grass Flying,Grass,Flying,460,75,55,70,55,95,110,2,FALSE,FALSE,TRUE
234,190,Aipom,Normal,Normal,,360,55,70,55,40,55,85,2,FALSE,FALSE,FALSE
235,191,Sunkern,Grass,Grass,,180,30,30,30,30,30,30,2,FALSE,FALSE,FALSE
236,192,Sunflora,Grass,Grass,,425,75,75,55,105,85,30,2,FALSE,FALSE,TRUE
237,193,Yanma,Bug Flying,Bug,Flying,390,65,65,45,75,45,95,2,FALSE,FALSE,FALSE
238,194,Wooper,Water Ground,Water,Ground,210,55,45,45,25,25,15,2,FALSE,FALSE,FALSE
239,195,Quagsire,Water Ground,Water,Ground,430,95,85,85,65,65,35,2,FALSE,FALSE,TRUE
240,196,Espeon,Psychic,Psychic,,525,65,65,60,130,95,110,2,FALSE,FALSE,TRUE
241,197,Umbreon,Dark,Dark,,525,95,65,110,60,130,65,2,FALSE,FALSE,TRUE
242,198,Murkrow,Dark Flying,Dark,Flying,405,60,85,42,85,42,91,2,FALSE,FALSE,FALSE
243,199,Slowking,Water Psychic,Water,Psychic,490,95,75,80,100,110,30,2,FALSE,FALSE,TRUE
244,199,Galarian Slowking,Poison Psychic,Poison,Psychic,,,,,,,,,FALSE,FALSE,TRUE
245,200,Misdreavus,Ghost,Ghost,,435,60,60,60,85,85,85,2,FALSE,FALSE,FALSE
246,201,Unown,Psychic,Psychic,,336,48,72,48,72,48,48,2,FALSE,FALSE,TRUE
247,202,Wobbuffet,Psychic,Psychic,,405,190,33,58,33,58,33,2,FALSE,FALSE,TRUE
248,203,Girafarig,Normal Psychic,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE,FALSE,TRUE
249,204,Pineco,Bug,Bug,,290,50,65,90,35,35,15,2,FALSE,FALSE,FALSE
250,205,Forretress,Bug Steel,Bug,Steel,465,75,90,140,60,60,40,2,FALSE,FALSE,TRUE
251,206,Dunsparce,Normal,Normal,,415,100,70,70,65,65,45,2,FALSE,FALSE,TRUE
252,207,Gligar,Ground Flying,Ground,Flying,430,65,75,105,35,65,85,2,FALSE,FALSE,FALSE
253,208,Steelix,Steel Ground,Steel,Ground,510,75,85,200,55,65,30,2,FALSE,FALSE,TRUE
254,208,Mega Steelix,Steel Ground,Steel,Ground,610,75,125,230,55,95,30,2,FALSE,TRUE,TRUE
255,209,Snubbull,Fairy,Fairy,,300,60,80,50,40,40,30,2,FALSE,FALSE,FALSE
256,210,Granbull,Fairy,Fairy,,450,90,120,75,60,60,45,2,FALSE,FALSE,TRUE
257,211,Qwilfish,Water Poison,Water,Poison,430,65,95,75,55,55,85,2,FALSE,FALSE,TRUE
